plantID,scientificName,wvl_nm,refl
2017-06-01-ireqa-P006,Populus tremuloides,410,0.02074662
2017-06-01-ireqa-P006,Populus tremuloides,420,0.02358472
2017-06-01-ireqa-P006,Populus tremuloides,430,0.02667999
2017-06-01-ireqa-P006,Populus tremuloides,440,0.02815419
2017-06-01-ireqa-P006,Populus tremuloides,450,0.02786995
2017-06-01-ireqa-P006,Populus tremuloides,460,0.0282051
2017-06-01-ireqa-P006,Populus tremuloides,470,0.02798308
2017-06-01-ireqa-P006,Populus tremuloides,480,0.02742383
2017-06-01-ireqa-P006,Populus tremuloides,490,0.02702031
2017-06-01-ireqa-P006,Populus tremuloides,500,0.02779981
2017-06-01-ireqa-P006,Populus tremuloides,510,0.03404821
2017-06-01-ireqa-P006,Populus tremuloides,520,0.04628694
2017-06-01-ireqa-P006,Populus tremuloides,530,0.06049307
2017-06-01-ireqa-P006,Populus tremuloides,540,0.0714736
2017-06-01-ireqa-P006,Populus tremuloides,550,0.07437123
2017-06-01-ireqa-P006,Populus tremuloides,560,0.06877036
2017-06-01-ireqa-P006,Populus tremuloides,570,0.05880173
2017-06-01-ireqa-P006,Populus tremuloides,580,0.04871284
2017-06-01-ireqa-P006,Populus tremuloides,590,0.04296357
2017-06-01-ireqa-P006,Populus tremuloides,600,0.03983873
2017-06-01-ireqa-P006,Populus tremuloides,610,0.03679065
2017-06-01-ireqa-P006,Populus tremuloides,620,0.03407986
2017-06-01-ireqa-P006,Populus tremuloides,630,0.03169324
2017-06-01-ireqa-P006,Populus tremuloides,640,0.02997784
2017-06-01-ireqa-P006,Populus tremuloides,650,0.0279712
2017-06-01-ireqa-P006,Populus tremuloides,660,0.0261139
2017-06-01-ireqa-P006,Populus tremuloides,670,0.02483353
2017-06-01-ireqa-P006,Populus tremuloides,680,0.02358287
2017-06-01-ireqa-P006,Populus tremuloides,690,0.03525446
2017-06-01-ireqa-P006,Populus tremuloides,700,0.07455281
2017-06-01-ireqa-P006,Populus tremuloides,710,0.1472299
2017-06-01-ireqa-P006,Populus tremuloides,720,0.238507
2017-06-01-ireqa-P006,Populus tremuloides,730,0.3189904
2017-06-01-ireqa-P006,Populus tremuloides,740,0.37278
2017-06-01-ireqa-P006,Populus tremuloides,750,0.3983531
2017-06-01-ireqa-P006,Populus tremuloides,760,0.4065893
2017-06-01-ireqa-P006,Populus tremuloides,770,0.4080929
2017-06-01-ireqa-P006,Populus tremuloides,780,0.4080704
2017-06-01-ireqa-P006,Populus tremuloides,790,0.4076288
2017-06-01-ireqa-P006,Populus tremuloides,800,0.4072744
2017-06-01-ireqa-P006,Populus tremuloides,810,0.4069981
2017-06-01-ireqa-P006,Populus tremuloides,820,0.4066886
2017-06-01-ireqa-P006,Populus tremuloides,830,0.4066779
2017-06-01-ireqa-P006,Populus tremuloides,840,0.4067101
2017-06-01-ireqa-P006,Populus tremuloides,850,0.4067389
2017-06-01-ireqa-P006,Populus tremuloides,860,0.4065655
2017-06-01-ireqa-P006,Populus tremuloides,870,0.4063589
2017-06-01-ireqa-P006,Populus tremuloides,880,0.4059579
2017-06-01-ireqa-P006,Populus tremuloides,890,0.4055517
2017-06-01-ireqa-P006,Populus tremuloides,900,0.4051273
2017-06-01-ireqa-P006,Populus tremuloides,910,0.404548
2017-06-01-ireqa-P006,Populus tremuloides,920,0.403925
2017-06-01-ireqa-P006,Populus tremuloides,930,0.4038602
2017-06-01-ireqa-P006,Populus tremuloides,940,0.4037447
2017-06-01-ireqa-P006,Populus tremuloides,950,0.4029982
2017-06-01-ireqa-P006,Populus tremuloides,960,0.4015316
2017-06-01-ireqa-P006,Populus tremuloides,970,0.4009232
2017-06-01-ireqa-P006,Populus tremuloides,980,0.400827
2017-06-01-ireqa-P006,Populus tremuloides,990,0.4004939
2017-06-01-ireqa-P006,Populus tremuloides,1000,0.4004082
2017-06-01-ireqa-P006,Populus tremuloides,1010,0.4006534
2017-06-01-ireqa-P006,Populus tremuloides,1020,0.4018099
2017-06-01-ireqa-P006,Populus tremuloides,1030,0.4027785
2017-06-01-ireqa-P006,Populus tremuloides,1040,0.4037478
2017-06-01-ireqa-P006,Populus tremuloides,1050,0.4048358
2017-06-01-ireqa-P006,Populus tremuloides,1060,0.4054562
2017-06-01-ireqa-P006,Populus tremuloides,1070,0.4057229
2017-06-01-ireqa-P006,Populus tremuloides,1080,0.4052409
2017-06-01-ireqa-P006,Populus tremuloides,1090,0.4046936
2017-06-01-ireqa-P006,Populus tremuloides,1100,0.4038841
2017-06-01-ireqa-P006,Populus tremuloides,1110,0.403101
2017-06-01-ireqa-P006,Populus tremuloides,1120,0.4022373
2017-06-01-ireqa-P006,Populus tremuloides,1130,0.3989093
2017-06-01-ireqa-P006,Populus tremuloides,1140,0.3930776
2017-06-01-ireqa-P006,Populus tremuloides,1150,0.3861857
2017-06-01-ireqa-P006,Populus tremuloides,1160,0.3808498
2017-06-01-ireqa-P006,Populus tremuloides,1170,0.3779125
2017-06-01-ireqa-P006,Populus tremuloides,1180,0.3764385
2017-06-01-ireqa-P006,Populus tremuloides,1190,0.3751274
2017-06-01-ireqa-P006,Populus tremuloides,1200,0.3743763
2017-06-01-ireqa-P006,Populus tremuloides,1210,0.3743924
2017-06-01-ireqa-P006,Populus tremuloides,1220,0.3752942
2017-06-01-ireqa-P006,Populus tremuloides,1230,0.3766661
2017-06-01-ireqa-P006,Populus tremuloides,1240,0.3777872
2017-06-01-ireqa-P006,Populus tremuloides,1250,0.3786317
2017-06-01-ireqa-P006,Populus tremuloides,1260,0.379081
2017-06-01-ireqa-P006,Populus tremuloides,1270,0.3789842
2017-06-01-ireqa-P006,Populus tremuloides,1280,0.3783124
2017-06-01-ireqa-P006,Populus tremuloides,1290,0.3770162
2017-06-01-ireqa-P006,Populus tremuloides,1300,0.3746031
2017-06-01-ireqa-P006,Populus tremuloides,1310,0.370607
2017-06-01-ireqa-P006,Populus tremuloides,1320,0.3645867
2017-06-01-ireqa-P006,Populus tremuloides,1330,0.3566913
2017-06-01-ireqa-P006,Populus tremuloides,1340,0.3483296
2017-06-01-ireqa-P006,Populus tremuloides,1350,0.3403083
2017-06-01-ireqa-P006,Populus tremuloides,1360,0.332519
